Number,Obectivename,Finish Game,Points Awarded to owner,Ponts awared to non-owner,Verbs,Location,Object,text,Loc Dep,Obj Dependency,Obj Incompatible,Error text,Non owner text,Description
1,Decontaminate the Life Support System,n,100,20,start,26,40,,0,"35,8",,The purification unit needs a new carbon filter and nanite paste to decontaminate.,Life Support decontamination complete! Clean air restored to the station.,"You installed the carbon filter and nanite paste, starting the purification unit and decontaminating the life support system!"
2,Retrieve the Master Decryption Disk,n,100,20,get,12,0,,102,5,,The terminal containing the disk requires the security keycard to access.,The master decryption disk has been retrieved from the Mainframe Hub.,You used the security keycard to retrieve the master decryption disk from the ML Mainframe Hub!
3,Rescue the Vanguard Plans,n,100,20,get,41,0,,90,,,,The Solar Vanguard plans have been rescued from the alien hive.,You successfully rescued the stolen Solar Vanguard military plans from the infested corridors!
4,Acquire the Alien Artifact,n,150,30,get,4,0,,55,3,,The artifact is sealed in a titanium container. You need the laser cutter to get it.,A player has acquired the ancient alien artifact from the Research Vault.,You used the laser cutter to open the titanium container and acquired the mysterious alien artifact!
5,Neutralize the Mainframe AI,y,300,50,start,1,39,,0,14,,The mainframe console requires the AI virus drive to neutralize the mainframe AI.,"A player has uploaded a virus, shutting down the station mainframe AI!",You inserted the AI virus drive into the terminal and successfully neutralized the mainframe AI! Aegis Prime is now offline.
6,Trigger Self-Destruct Sequence,y,400,70,start,35,37,,0,"1,2",,The reactor console requires the heavy reactor rod and the security override key to initiate self-destruct.,Reactor self-destruct sequence initiated! The station is imploding!,"You inserted the reactor rod and override key, starting the core self-destruct sequence! Aegis Prime will implode in T-minus 60 seconds!"
7,Broker Alliance Victory,y,350,60,drop,50,0,,84,,,,"The Solar Vanguard has secured the station mainframe core, claiming Alliance victory!","You delivered the mainframe core to the Solar Vanguard Command Post, securing Alliance victory and control over the station!"
8,Broker Xenophage Domination,y,350,60,drop,9,0,,26,,,,Toxins have been introduced into the water supply. The Xenophage has overrun Aegis Prime!,"You dropped the bio-toxin canister into the main water purifier, infecting the entire station biomass and ensuring Xenophage domination!"
9,Broker Mecha-Legion Takeover,y,350,60,drop,12,0,,102,,,,Mainframe decryption complete! Aegis Prime is now under complete Mecha-Legion droid control.,"You uploaded the decryption algorithms from the disk directly into the Mainframe Hub, giving the Mecha-Legion total cybernetic takeover of Aegis Prime!"
10,Escape via Escape Pod,y,400,70,start,65,38,,0,"15,16",,The escape pod requires the launch codes sheet and the escape pod key to launch.,An escape pod has launched from Aegis Prime Hangar!,"You swiped the pod key, typed in the launch codes, and successfully launched the escape pod, escaping the station to safety!"
